Player,Pos,Ht,Wt
David Vaughn,F,205.74,108.86
Jacque Vaughn,G,185.42,86.18
Rashad Vaughn,G,198.12,91.63
Virgil Vaughn,F-C,193.04,92.99
Loy Vaught,F,205.74,104.33
Bob Verga,G,185.42,86.18
Pete Verhoeven,F,205.74,97.52
Jan Veselý,F,210.82,108.86
Gundars Vētra,F,198.12,88.45
João Vianna,F,205.74,97.52
Charlie Villanueva,F,210.82,105.23
Gabe Vincent,G,190.5,90.72
Jay Vincent,F,200.66,99.79
Sam Vincent,G,187.96,83.91
Marcus Vinicius,F,203.2,102.06
Fred Vinson,G,193.04,86.18
Claude Virden,F,198.12,88.45
Gary Voce,F,205.74,108.86
Floyd Volker,F-C,193.04,92.99
Alexander Volkov,C,208.28,98.88
Whitey Von Nieda,G-F,185.42,77.11
Noah Vonleh,F,208.28,116.57
Jake Voskuhl,C,210.82,111.13
Danny Vranes,F,200.66,95.25
Slavko Vraneš,C,226.06,124.74
Stojko Vranković,C,218.44,117.93
Brett Vroman,C,213.36,99.79
Jackson Vroman,F-C,208.28,99.79
Nikola Vučević,C,210.82,117.93
Sasha Vujačić,G,200.66,88.45
Butch van Breda Kolff,G-F,190.5,83.91
Jan van Breda Kolff,G-F,200.66,88.45
Marc Iavaroni,F,203.2,95.25
Serge Ibaka,F-C,213.36,106.59
Andre Iguodala,G-F,198.12,97.52
Zydrunas Ilgauskas,C,220.98,107.95
Mile Ilić,C,215.9,104.33
Didier Ilunga-Mbenga,C,213.36,111.13
Ersan İlyasova,F,205.74,106.59
Darrall Imhoff,C,208.28,99.79
Tom Ingelsby,G,190.5,81.65
Joe Ingles,G-F,200.66,102.51
Damien Inglis,F,203.2,111.58
Andre Ingram,G,190.5,86.18
Brandon Ingram,F,200.66,86.18
McCoy Ingram,F,203.2,95.25
Ervin Inniger,G,193.04,86.18
Byron Irvin,G,195.58,86.18
George Irvine,G-F,198.12,90.72
Kyrie Irving,G,187.96,88.45
Jonathan Isaac,F,210.82,95.25
Dan Issel*,F-C,205.74,106.59
Mike Iuzzolino,G,177.8,79.38
Allen Iverson*,G,182.88,74.84
Willie Iverson,G,182.88,81.65
Royal Ivey,G,190.5,90.72
Elvin Ivory,F,203.2,95.25
Wesley Iwundu,F,198.12,88.45
Ledell Eackles,G-F,195.58,99.79
Jim Eakins,C,210.82,97.52
Acie Earl,F-C,208.28,108.86
Ed Earle,F,190.5,86.18
Cleanthony Early,F,203.2,95.25
Penny Early,G,160.02,51.71
Mark Eaton,C,223.52,124.74
Jerry Eaves,G,193.04,81.65
Devin Ebanks,F,205.74,97.52
Bill Ebben,G,193.04,86.18
Al Eberhard,F,198.12,102.06
Ndudi Ebi,F,205.74,90.72
Roy Ebron,C,205.74,99.79
Jarell Eddie,G-F,200.66,98.88
Patrick Eddie,C,210.82,108.86
Dike Eddleman,G-F,190.5,85.73
Kenton Edelin,F,203.2,92.99
Charles Edge,F,198.12,95.25
Bobby Edmonds,F,198.12,99.79
Keith Edmonson,G,195.58,88.45
Tyus Edney,G,177.8,68.95
Bill Edwards,F,203.2,97.52
Blue Edwards,G-F,193.04,90.72
Carsen Edwards,G,180.34,90.72
Corsley Edwards,F,205.74,124.74
Doug Edwards,F,200.66,99.79
Franklin Edwards,G,185.42,77.11
James Edwards,F-C,213.36,102.06
Jay Edwards,G,193.04,83.91
John Edwards,C,213.36,124.74
Kevin Edwards,G,190.5,86.18
Shane Edwards,F,200.66,99.79
Vince Edwards,F,203.2,102.06
Johnny Egan,G,180.34,81.65
Lonnie Eggleston,G,182.88,77.11
Bulbs Ehlers,G-F,190.5,89.81
Craig Ehlo,G-F,198.12,81.65
Rich Eichhorst,G,190.5,90.72
Howard Eisley,G,187.96,80.29
Obinna Ekezie,F-C,205.74,122.47
Khalid El-Amin,G,177.8,90.72
Don Eliason,F,187.96,95.25
Mario Elie,G-F,195.58,95.25
Ray Ellefson,C,203.2,104.33
Henry Ellenson,F,208.28,108.86
Wayne Ellington,G,193.04,90.72
Bob Elliott,F-C,205.74,102.06
Sean Elliott,F,203.2,92.99
Bo Ellis,F,205.74,89.36
Boo Ellis,F,195.58,83.91
Dale Ellis,G-F,200.66,92.99
Harold Ellis,G,195.58,90.72
Joe Ellis,G-F,198.12,79.38
LaPhonso Ellis,F,203.2,108.86
LeRon Ellis,F-C,205.74,102.06
Leroy Ellis,F-C,208.28,95.25
Monta Ellis,G,190.5,83.91
Pervis Ellison,F-C,205.74,95.25
Len Elmore,F-C,205.74,99.79
Francisco Elson,C,213.36,106.59
Darrell Elston,G,193.04,86.18
Melvin Ely,C,208.28,117.93
Joel Embiid,C,213.36,113.4
Wayne Embry*,F-C,203.2,108.86
Andre Emmett,F,195.58,104.33
Ned Endress,G-F,187.96,90.72
Chris Engler,C,210.82,111.13
Wayne Englestad,F,203.2,111.13
A.J. English,G,190.5,79.38
Alex English*,F,200.66,86.18
Claude English,F,193.04,83.91
Jo Jo English,G,193.04,88.45
Kim English,G,198.12,90.72
Scott English,F,198.12,92.99
Gene Englund,F-C,195.58,92.99
James Ennis,F,198.12,95.25
Tyler Ennis,G,190.5,88.0
Ray Epps,F,198.12,88.45
Semih Erden,C,213.36,108.86
Bo Erias,F,190.5,99.79
Keith Erickson,G-F,195.58,88.45
Julius Erving*,G-F,200.66,95.25
Evan Eschmeyer,C,210.82,115.67
Jack Eskridge,F-C,195.58,90.72
Vincenzo Esposito,G,190.5,89.81
Drew Eubanks,F,205.74,111.13
Billy Evans,G,182.88,77.11
Bob Evans,G,187.96,79.38
Brian Evans,F,203.2,99.79
Earl Evans,F,203.2,91.63
Jacob Evans,G-F,193.04,95.25
Jawun Evans,G,182.88,83.91
Jeremy Evans,F,205.74,90.72
Maurice Evans,G,195.58,99.79
Mike Evans,G,185.42,77.11
Reggie Evans,F,203.2,111.13
Tyreke Evans,G-F,198.12,99.79
Daniel Ewing,G,190.5,83.91
Patrick Ewing*,F-C,213.36,108.86
Patrick Ewing,F,203.2,106.59
Dante Exum,G,195.58,86.18
Christian Eyenga,F,195.58,95.25
Festus Ezeli,C,210.82,115.67
Johnny Ezersky,G-F,190.5,79.38
Ivan Rabb,F,208.28,99.79
Luther Rackley,C,208.28,99.79
Howie Rader,G-F,185.42,86.18
Mark Radford,G,193.04,86.18
Wayne Radford,G,190.5,92.99
Dino Radja*,F-C,210.82,102.06
Vladimir Radmanović,F,208.28,102.97
Aleksandar Radojević,C,220.98,113.4
Frank Radovich,F,203.2,106.59
Moe Radovich,G,182.88,72.57
Miroslav Raduljica,C,213.36,113.4
Ray Radziszewski,F,195.58,95.25
Ray Ragelis,F,193.04,92.99
Sherwin Raiken,G,187.96,83.91
Ed Rains,F,200.66,86.18
Igor Rakočević,G,190.5,83.01
Kurt Rambis,F,203.2,96.62
Peter John Ramos,C,220.98,124.74
Cal Ramsey,F,193.04,90.72
Frank Ramsey*,G-F,190.5,86.18
Ray Ramsey,G-F,187.96,74.84
Mark Randall,F,203.2,106.59
Chasson Randle,G,187.96,83.91
Julius Randle,F-C,203.2,113.4
Anthony Randolph,F,208.28,92.99
Shavlik Randolph,F,208.28,108.86
Zach Randolph,F-C,205.74,113.4
Wally Rank,G-F,198.12,99.79
Kelvin Ransey,G,185.42,77.11
Sam Ranzino,G,185.42,83.91
Bobby Rascoe,G-F,193.04,92.99
Blair Rasmussen,C,213.36,113.4
Xavier Rathan-Mayes,G,193.04,94.35
George Ratkovicz,F-C,198.12,99.79
Ed Ratleff,G-F,198.12,88.45
Mike Ratliff,C,208.28,104.33
Theo Ratliff,F-C,208.28,102.06
Andy Rautins,G,193.04,86.18
Leo Rautins,F,203.2,97.52
Allan Ray,G,187.96,86.18
Clifford Ray,C,205.74,104.33
Don Ray,F-C,195.58,86.18
James Ray,F,203.2,97.52
Jim Ray,G,185.42,81.65
Jimmy Rayl,G,187.96,79.38
Craig Raymond,C,210.82,106.59
Connie Rea,G-F,190.5,79.38
Joe Reaves,F,195.58,95.25
Josh Reaves,G,193.04,97.52
Željko Rebrača,C,213.36,116.57
Eldridge Recasner,G,190.5,86.18
Michael Redd,G,198.12,99.79
Cam Reddish,F,203.2,94.35
Frank Reddout,F,195.58,88.45
J.J. Redick,G,190.5,90.72
Marlon Redmond,G,198.12,85.28
Davon Reed,G,195.58,94.35
Hub Reed,F-C,205.74,97.52
Justin Reed,F,203.2,108.86
Ron Reed,F,195.58,92.99
Willie Reed,F-C,208.28,99.79
Willis Reed*,F-C,205.74,106.59
Bryant Reeves,C,213.36,124.74
Khalid Reeves,G,190.5,90.26
Richie Regan,G,187.96,81.65
Don Rehfeldt,F,200.66,95.25
Billy Reid,G,195.58,86.18
Don Reid,F,203.2,113.4
J.R. Reid,F,205.74,112.04
Jim Reid,F,198.12,95.25
Naz Reid,F,205.74,119.75
Robert Reid,G-F,203.2,92.99
Ryan Reid,F,203.2,105.23
Jared Reiner,C,210.82,115.67
Chick Reiser,G-F,180.34,74.84
Richard Rellford,F,198.12,104.33
Terrence Rencher,G,190.5,83.91
John Rennicke,G,187.96,83.91
Bob Rensberger,F,187.96,77.11
Efthimi Rentzias,C,210.82,113.4
Shawn Respert,G,185.42,88.45
Kevin Restani,F-C,205.74,102.06
Cameron Reynolds,G,200.66,102.06
George Reynolds,G,193.04,88.45
Jerry Reynolds,G-F,203.2,90.72
Kendall Rhine,C,208.28,104.33
Gene Rhodes,G,185.42,77.11
Rodrick Rhodes,G-F,198.12,102.06
Glen Rice,F,200.66,97.52
Glen Rice,G,198.12,93.44
Chris Richard,F,205.74,122.47
Clint Richardson,G,190.5,88.45
Jason Richardson,G,198.12,99.79
Jeremy Richardson,G-F,198.12,83.91
Josh Richardson,G,195.58,90.72
Malachi Richardson,G,198.12,92.99
Micheal Ray Richardson,G-F,195.58,85.73
Norm Richardson,G,195.58,86.18
Pooh Richardson,G,185.42,81.65
Quentin Richardson,G,198.12,101.15
Mitch Richmond*,G,195.58,97.52
John Richter,F,205.74,102.06
Dick Ricketts,F-C,200.66,97.52
Isaiah Rider,G,195.58,97.52
Jackie Ridgle,G,193.04,88.45
Luke Ridnour,G,187.96,79.38
Mel Riebe,G-F,180.34,81.65
Bob Riedy,F,198.12,97.52
Jim Riffey,F,193.04,90.72
Antoine Rigaudeau,G,200.66,95.25
Tom Riker,F-C,208.28,102.06
Bob Riley,F,205.74,106.59
Eric Riley,C,213.36,111.13
Pat Riley*,G-F,193.04,92.99
Ron Riley,F,203.2,88.45
Rich Rinaldi,G,190.5,88.45
Mike Riordan,G-F,193.04,90.72
Arnie Risen*,F-C,205.74,90.72
Tex Ritter,G-F,187.96,83.91
Ramón Rivas,F-C,208.28,117.93
Austin Rivers,G,190.5,90.72
David Rivers,G,182.88,77.11
Doc Rivers,G,193.04,83.91
Lee Robbins,F,190.5,79.38
Red Robbins,F-C,203.2,86.18
Andre Roberson,G-F,200.66,95.25
Anthony Roberson,G,187.96,81.65
Rick Roberson,F-C,205.74,104.78
Terrance Roberson,F,200.66,97.52
Anthony Roberts,G-F,195.58,83.91
Bill Roberts,C,205.74,95.25
Brian Roberts,G,185.42,78.47
Fred Roberts,F-C,208.28,98.88
Joe Roberts,F,198.12,97.07
Lawrence Roberts,F,205.74,108.86
Marv Roberts,F-C,203.2,90.72
Stanley Roberts,C,213.36,129.27
Alvin Robertson,G,190.5,83.91
Oscar Robertson*,G-F,195.58,92.99
Ryan Robertson,G,195.58,86.18
Tony Robertson,G,193.04,88.45
Rick Robey,F-C,210.82,104.33
Bernard Robinson,G-F,198.12,95.25
Chris Robinson,G,195.58,90.72
Cliff Robinson,F,205.74,99.79
Clifford Robinson,F-C,208.28,102.06
David Robinson*,C,215.9,106.59
Devin Robinson,F,203.2,90.72
Duncan Robinson,G,200.66,97.52
Eddie Robinson,G-F,203.2,95.25
Flynn Robinson,G,185.42,83.91
Glenn Robinson,F,200.66,102.06
Glenn Robinson,G-F,198.12,100.7
Jackie Robinson,F,198.12,95.25
Jamal Robinson,F,200.66,96.16
James Robinson,G,187.96,81.65
Jerome Robinson,G,193.04,86.18
Justin Robinson,G,185.42,88.45
Larry Robinson,G-F,190.5,81.65
Mitchell Robinson,C,213.36,101.15
Nate Robinson,G,175.26,81.65
Oliver Robinson,G,193.04,81.65
Ronnie Robinson,F,203.2,90.72
Rumeal Robinson,G,187.96,88.45
Samuel Robinson,F,200.66,86.18
Thomas Robinson,F,208.28,107.5
Truck Robinson,F-C,200.66,102.06
Wayne Robinson,F,203.2,98.43
Wilbert Robinson,G,187.96,79.38
Bill Robinzine,F,200.66,104.33
Dave Robisch,F-C,208.28,106.59
Isaiah Roby,F,203.2,104.33
Red Rocha,F-C,205.74,83.91
John Roche,G,190.5,77.11
Gene Rock,G,175.26,70.31
Jack Rocker,F-C,195.58,83.91
Guy Rodgers*,G,182.88,83.91
Dennis Rodman*,F,200.66,95.25
Sergio Rodríguez,G,190.5,79.83
Lou Roe,F,200.66,99.79
Carlos Rogers,F-C,210.82,99.79
Harry Rogers,F,200.66,88.45
Johnny Rogers,F-C,208.28,102.06
Marshall Rogers,G,185.42,86.18
Rodney Rogers,F,200.66,106.59
Roy Rogers,F,208.28,106.59
Willie Rogers,G-F,190.5,83.91
Al Roges,G-F,193.04,88.45
Ken Rohloff,G,182.88,88.45
Kenny Rollins,G,182.88,76.2
Phil Rollins,G,187.96,83.91
Tree Rollins,C,215.9,106.59
Lorenzo Romar,G,185.42,79.38
Rajon Rondo,G,185.42,84.37
Jerry Rook,F,195.58,99.34
Sean Rooks,C,208.28,113.4
Derrick Rose,G,187.96,90.72
Jalen Rose,G-F,203.2,95.25
Malik Rose,F-C,200.66,113.4
Rob Rose,G,195.58,81.65
Petey Rosenberg,G,177.8,74.84
Lennie Rosenbluth,F,193.04,86.18
Hank Rosenstein,F,193.04,83.91
Dick Rosenthal,G-F,195.58,92.99
Quinton Ross,G,198.12,88.45
Terrence Ross,G-F,198.12,93.44
Doug Roth,C,210.82,115.67
Scott Roth,F,203.2,96.16
Irv Rothenberg,C,200.66,97.52
Mickey Rottner,G,177.8,81.65
Dan Roundfield,F-C,203.2,92.99
Giff Roux,F-C,195.58,88.45
Ron Rowan,G,195.58,90.72
Curtis Rowe,F,200.66,102.06
Jim Rowinski,F-C,203.2,113.4
Derrick Rowland,G,195.58,88.45
Brian Rowsom,F,205.74,99.79
Brandon Roy,G,198.12,97.52
Donald Royal,F,203.2,95.25
Reggie Royals,C,208.28,90.72
Bob Royer,G,177.8,70.31
Clifford Rozier,F-C,210.82,111.13
Terry Rozier,G,185.42,86.18
Ricky Rubio,G,190.5,86.18
Guy Rucker,F-C,210.82,120.2
Delaney Rudd,G,187.96,81.65
John Rudd,F,200.66,104.33
Damjan Rudež,F,208.28,103.42
John Rudometkin,F,198.12,92.99
Michael Ruffin,F,205.74,111.58
Trevor Ruffin,G,185.42,83.91
Paul Ruffner,F-C,208.28,102.06
Joe Ruklick,F-C,205.74,99.79
Jeff Ruland,F-C,208.28,108.86
Bob Rule,F-C,205.74,99.79
Jerry Rullo,G,177.8,74.84
Stefano Rusconi,F-C,205.74,108.86
Brandon Rush,G-F,198.12,99.79
Kareem Rush,G,198.12,97.52
Bill Russell*,C,208.28,97.52
Bryon Russell,F,200.66,102.06
Campy Russell,F,203.2,97.52
Cazzie Russell,G-F,195.58,98.88
D'Angelo Russell,G,193.04,89.81
Frank Russell,G,190.5,81.65
Pierre Russell,G-F,193.04,86.18
Rubin Russell,G,187.96,81.65
Walker Russell,G,195.58,88.45
Walker Russell,G,182.88,77.11
Rui Hachimura,F,203.2,104.33
Rudy Hackett,F,205.74,95.25
Hamed Haddadi,C,218.44,115.21
Jim Hadnot,F-C,208.28,106.59
Scott Haffner,G,190.5,81.65
Cliff Hagan*,G-F,193.04,95.25
Glenn Hagan,G,182.88,77.11
Tom Hagan,G,190.5,83.91
Robert Hahn,C,208.28,108.86
Al Hairston,G,185.42,77.11
Happy Hairston,F,200.66,102.06
Lindsay Hairston,F-C,200.66,81.65
Malik Hairston,G,198.12,99.79
P.J. Hairston,G-F,198.12,104.33
Marcus Haislip,F,208.28,104.33
Chick Halbert,C,205.74,102.06
Swede Halbrook,C,220.98,106.59
Bruce Hale,G-F,185.42,77.11
Hal Hale,G,185.42,81.65
Jack Haley,F-C,208.28,108.86
Shaler Halimon,G-F,195.58,90.26
Devon Hall,G,187.96,97.52
Donta Hall,F,205.74,104.33
Mike Hall,F,203.2,104.33
Jeff Halliburton,G,195.58,87.54
Darvin Ham,F,200.66,99.79
Steve Hamer,C,213.36,111.13
Dale Hamilton,G-F,182.88,81.65
Daniel Hamilton,G-F,200.66,88.45
Dennis Hamilton,F,203.2,95.25
Joe Hamilton,G,177.8,72.57
Jordan Hamilton,G-F,200.66,99.79
Justin Hamilton,C,213.36,117.93
Ralph Hamilton,G-F,185.42,85.28
Richard Hamilton,G-F,198.12,83.91
Roy Hamilton,G,187.96,81.65
Steve Hamilton,F-C,198.12,86.18
Tang Hamilton,F,203.2,99.79
Thomas Hamilton,C,218.44,149.69
Zendon Hamilton,F-C,210.82,113.4
Geert Hammink,C,213.36,118.84
Julian Hammond,F,195.58,92.99
Tom Hammonds,F,205.74,97.52
A.J. Hammons,C,213.36,117.93
Joe Hamood,G,182.88,81.65
Darrin Hancock,G-F,200.66,92.99
Ben Handlogten,C,208.28,108.86
Cecil Hankins,G,185.42,79.38
Phil Hankinson,F,203.2,88.45
Dusty Hannahs,G,190.5,95.25
Alex Hannum*,F-C,200.66,95.25
Don Hanrahan,F,200.66,90.72
Rollen Hans,G,187.96,95.25
Ben Hansbrough,G,190.5,92.08
Tyler Hansbrough,F,205.74,113.4
Bob Hansen,G,198.12,86.18
Glenn Hansen,G,193.04,92.99
Lars Hansen,C,208.28,102.06
Travis Hansen,G,198.12,92.99
Reggie Hanson,F,203.2,88.45
Bill Hanzlik,G-F,200.66,83.91
Luke Harangody,F,203.2,111.58
Anfernee Hardaway,G-F,200.66,88.45
Tim Hardaway,G,182.88,79.38
Tim Hardaway,G,195.58,92.99
James Harden,G,195.58,99.79
Reggie Harding,C,213.36,112.94
Charlie Hardnett,F-C,203.2,102.06
Alan Hardy,F,200.66,88.45
Darrell Hardy,F,200.66,99.79
James Hardy,F-C,203.2,99.79
Ira Harge,C,205.74,102.06
John Hargis,G-F,187.96,81.65
Maurice Harkless,G-F,200.66,99.79
Jerry Harkness,G,187.96,79.38
Skip Harlicka,G,185.42,83.91
Jerome Harmon,G,193.04,86.18
Derek Harper,G,193.04,83.91
Jared Harper,G,180.34,79.38
Justin Harper,F,208.28,102.06
Mike Harper,F-C,208.28,88.45
Ron Harper,G-F,198.12,83.91
Matt Harpring,F,200.66,104.78
Montrezl Harrell,F-C,200.66,108.86
Josh Harrellson,C,208.28,124.74
Adam Harrington,G,195.58,90.72
Al Harrington,F,205.74,104.33
Junior Harrington,G,193.04,81.65
Othella Harrington,F-C,205.74,106.59
Art Harris,G,193.04,83.91
Bernie Harris,F,208.28,90.72
Billy Harris,G,187.96,83.91
Bob Harris,F-C,200.66,88.45
Chris Harris,G,190.5,86.18
Devin Harris,G,190.5,83.91
Elias Harris,F,203.2,108.41
Gary Harris,G,193.04,92.99
Joe Harris,G,198.12,99.79
Lucious Harris,G,195.58,86.18
Manny Harris,G,195.58,83.91
Mike Harris,F,198.12,108.86
Steve Harris,G,195.58,88.45
Terrel Harris,G,195.58,86.18
Tobias Harris,F,203.2,106.59
Tony Harris,G,190.5,86.18
Aaron Harrison,G,198.12,95.25
Andrew Harrison,G,198.12,96.62
Bob Harrison,G,185.42,86.18
David Harrison,C,213.36,127.01
Shaquille Harrison,G,200.66,86.18
Jason Hart,G,190.5,83.91
Josh Hart,G,195.58,97.52
Isaiah Hartenstein,F,213.36,112.94
Antonio Harvey,F-C,210.82,102.06
Donnell Harvey,F,203.2,99.79
Scott Haskin,F-C,210.82,113.4
Clem Haskins,G,190.5,88.45
Udonis Haslem,F-C,203.2,106.59
Trenton Hassell,G,195.58,90.72
Billy Hassett,G,180.34,81.65
Joe Hassett,G,195.58,81.65
Scott Hastings,F-C,208.28,106.59
Kirk Haston,F,205.74,109.77
Vern Hatton,G,190.5,88.45
John Havlicek*,G-F,195.58,92.08
Spencer Hawes,F-C,215.9,111.13
Steve Hawes,F-C,205.74,99.79
Bubbles Hawkins,G,193.04,86.18
Connie Hawkins*,F-C,203.2,95.25
Hersey Hawkins,G,190.5,86.18
Juaquin Hawkins,G-F,200.66,99.79
Marshall Hawkins,F,190.5,92.99
Michael Hawkins,G,182.88,80.74
Tom Hawkins,F,195.58,95.25
Nate Hawthorne,G,193.04,86.18
Chuck Hayes,F-C,198.12,108.86
Elvin Hayes*,F-C,205.74,106.59
Jarvis Hayes,F,200.66,99.79
Jaxson Hayes,F,210.82,99.79
Jim Hayes,G,190.5,90.72
Nigel Hayes,F,203.2,115.21
Steve Hayes,C,213.36,92.99
Gordon Hayward,G-F,200.66,93.89
Lazar Hayward,F,198.12,102.06
Brendan Haywood,C,213.36,121.56
Spencer Haywood*,F-C,203.2,102.06
John Hazen,G,187.96,78.02
Walt Hazzard,G,187.96,83.91
Luther Head,G,190.5,83.91
Shane Heal,G,182.88,81.65
Brian Heaney,G,187.96,81.65
Gar Heard,F,198.12,99.34
Reggie Hearn,G,195.58,95.25
Herm Hedderick,G,195.58,77.11
Alvin Heggs,F,203.2,102.06
Tom Heinsohn*,F-C,200.66,98.88
Dick Hemric,F,198.12,99.79
Alan Henderson,F,205.74,106.59
Cedric Henderson,F,203.2,95.25
Cedric Henderson,F,200.66,97.52
Dave Henderson,G,195.58,88.45
Gerald Henderson,G,187.96,79.38
Gerald Henderson,G,195.58,97.52
J.R. Henderson,F,203.2,102.51
Jerome Henderson,F-C,210.82,104.33
Kevin Henderson,G,193.04,88.45
Tom Henderson,G,190.5,86.18
Mark Hendrickson,F,205.74,99.79
Larry Hennessy,G,190.5,83.91
Don Henriksen,F-C,200.66,102.06
Al Henry,C,205.74,86.18
Bill Henry,C,205.74,97.52
Carl Henry,G,198.12,92.99
Conner Henry,G,200.66,88.45
Myke Henry,F,198.12,95.25
Skeeter Henry,G,200.66,86.18
Xavier Henry,G,198.12,99.79
John Henson,F-C,205.74,99.34
Steve Henson,G,180.34,80.29
Charles Hentz,F,195.58,95.25
Bill Herman,G,190.5,77.11
Kleggie Hermsen,F-C,205.74,102.06
Dewan Hernandez,F,208.28,106.59
Juan Hernangómez,F,205.74,99.79
Willy Hernangómez,C,210.82,108.86
Chris Herren,G,187.96,89.36
Carl Herrera,F,205.74,97.52
Walter Herrmann,F,205.74,102.06
Tyler Herro,G,195.58,90.72
Keith Herron,G-F,198.12,88.45
Sonny Hertzberg,G,177.8,79.38
Kevin Hervey,F,205.74,104.33
Dan Hester,F,203.2,95.25
Fred Hetzel,F-C,203.2,99.79
Bill Hewitt,F,200.66,95.25
Jack Hewson,F-C,198.12,88.45
Art Heyman,G-F,195.58,92.99
Mario Hezonja,G-F,203.2,91.17
Roy Hibbert,C,218.44,122.47
Nat Hickey,G-F,180.34,81.65
Isaiah Hicks,F,205.74,104.33
Phil Hicks,F,200.66,92.99
J.J. Hickson,F-C,205.74,109.77
Buddy Hield,G,193.04,99.79
Bill Higgins,G,187.96,81.65
Cory Higgins,G,195.58,81.65
Earle Higgins,F,203.2,88.45
Mike Higgins,F,205.74,99.79
Rod Higgins,F,200.66,90.72
Sean Higgins,G-F,205.74,92.99
Kenny Higgs,G,182.88,81.65
Johnny High,G,190.5,83.91
Haywood Highsmith,F,200.66,99.79
Wayne Hightower,F-C,203.2,87.09
Nenê Hilário,F-C,210.82,113.4
Armond Hill,G,193.04,86.18
Cleo Hill,G,185.42,83.91
Gary Hill,G,193.04,83.91
George Hill,G,190.5,85.28
Grant Hill*,G-F,203.2,102.06
Jordan Hill,F-C,208.28,106.59
Simmie Hill,F,200.66,105.69
Solomon Hill,F,198.12,102.06
Steven Hill,C,213.36,112.49
Tyrone Hill,F,205.74,108.86
Art Hillhouse,C,200.66,99.79
Darrun Hilliard,G,198.12,92.99
Darnell Hillman,F-C,205.74,97.52
Fred Hilton,G-F,190.5,83.91
Kirk Hinrich,G,193.04,86.18
Roy Hinson,F-C,205.74,95.25
Mel Hirsch,G,167.64,74.84
Lew Hitch,F-C,203.2,90.72
Robert Hite,G,187.96,83.46
Jaylen Hoard,F,203.2,97.98
Darington Hobson,G,200.66,95.25
Donald Hodge,C,213.36,104.33
Julius Hodge,G,200.66,95.25
Craig Hodges,G,187.96,86.18
Charlie Hoefer,G,175.26,71.67
Paul Hoffman,G-F,187.96,88.45
Bob Hogsett,F,200.66,104.33
Paul Hogue,C,205.74,108.86
Fred Hoiberg,G,193.04,92.08
Doug Holcomb,F,193.04,90.72
Randy Holcomb,F,205.74,102.06
Aaron Holiday,G,182.88,83.91
Jrue Holiday,G,190.5,92.99
Justin Holiday,F,198.12,82.1
Brad Holland,G,190.5,81.65
Joe Holland,F,193.04,83.91
John Holland,G-F,195.58,92.99
Wilbur Holland,G,182.88,79.38
Lionel Hollins,G,190.5,83.91
Ryan Hollins,C,213.36,108.86
Essie Hollis,F,198.12,88.45
Rondae Hollis-Jefferson,F,198.12,98.43
Dennis Holman,G,190.5,79.38
Richaun Holmes,F-C,208.28,108.86
Jim Holstein,G-F,190.5,81.65
A.W. Holt,F,200.66,95.25
Michael Holton,G,193.04,83.91
Dick Holub,C,198.12,92.99
Joe Holup,F,198.12,97.52
Red Holzman*,G,177.8,79.38
Jerald Honeycutt,G-F,205.74,111.13
Tyler Honeycutt,F,203.2,85.28
Derek Hood,F,203.2,100.7
Rodney Hood,G-F,203.2,94.35
Bobby Hooper,G,182.88,81.65
Carroll Hooser,F,200.66,104.33
Tom Hoover,C,205.74,104.33
Bob Hopkins,F-C,203.2,92.99
Dave Hoppen,F-C,210.82,106.59
Dennis Hopson,G-F,195.58,90.72
Scotty Hopson,G,200.66,92.53
Johnny Horan,F,203.2,86.18
Cedrick Hordges,F-C,203.2,99.79
Al Horford,F-C,205.74,111.13
Tito Horford,C,215.9,111.13
Ron Horn,F,200.66,99.79
Jeff Hornacek,G,190.5,86.18
Dennis Horner,F,205.74,104.33
Robert Horry,F,205.74,99.79
Ed Horton,F,203.2,104.33
Talen Horton-Tucker,G-F,193.04,106.59
Bill Hosket,F-C,203.2,102.06
Bob Houbregs*,F-C,203.2,102.06
Danuel House,G,198.12,97.52
Eddie House,G,185.42,81.65
Allan Houston,G,198.12,90.72
Byron Houston,F,195.58,113.4
Tom Hovasse,F,203.2,92.99
Brian Howard,F,198.12,92.53
Dwight Howard,C,208.28,120.2
Greg Howard,F-C,205.74,97.52
Josh Howard,G-F,200.66,95.25
Juwan Howard,F,205.74,108.86
Mo Howard,G,187.96,77.11
Otis Howard,F,200.66,99.79
Stephen Howard,F,205.74,102.06
William Howard,F,203.2,92.99
Bailey Howell*,F,200.66,95.25
Bob Hubbard,F-C,198.12,97.52
Phil Hubbard,F-C,203.2,97.52
Lester Hudson,G,190.5,86.18
Lou Hudson,G-F,195.58,95.25
Troy Hudson,G,185.42,77.11
Marcelo Huertas,G,190.5,90.72
Kevin Huerter,G,200.66,86.18
Josh Huestis,F,200.66,104.33
Nate Huffman,C,215.9,111.13
Alfredrick Hughes,G-F,195.58,97.52
Eddie Hughes,G,177.8,74.84
Kim Hughes,C,210.82,99.79
Larry Hughes,G,195.58,83.46
Rick Hughes,F,205.74,106.59
Robbie Hummel,F,203.2,97.52
John Hummer,F-C,205.74,104.33
Ryan Humphrey,F,203.2,106.59
Isaac Humphries,C,213.36,115.67
Jay Humphries,G,190.5,83.91
Kris Humphries,F-C,205.74,106.59
Hot Rod Hundley,G,193.04,83.91
Brandon Hunter,F,200.66,117.93
Cedric Hunter,G,182.88,81.65
